company_name,world_rank,headquarter,market cap(Billion USD),business_sector
DOW Inc,460,USA,36.473,"Industries, Conglomerate, Automobile, Real Estate, Financial Services"
JARDINE STRATEGIC HOLDINGS,460,Hong Kong,36.471,"Energy, Oil and Gas, Infrastructure, Gas Utilities, Utilities"
KINDER MORGAN,461,USA,36.457,"Financial Services, Insurance, Asset Management"
PRUDENTIAL,462,UK,36.444,"Technology, Electronics, Mobiles & Accessories, TV's, Laptops"
XIAOMI CORPORATION,463,China,36.429,"Retail, Consumer Services, Apparels and Accessories"
ROSS STORES,464,USA,36.424,"Cigarettes, Tobacco Products, FMCG, Tobacco and Cigarette, Pharmaceutical"
JAPAN TOBACCO,465,Japan,36.395,"Energy, Oil and Gas, Natural Gas Generation"
CHENIERE ENERGY,466,USA,36.35,"Industries, Railway, Railway Operating Company"
"BEIJING-SHANGHAI HIGH-SPEED RAILWAY CO.,LTD.",467,China,36.343,"Food Products, Food Service, Retail, Consumer Non Durables, Food Chains / Distributor"
SYSCO CORPORATION,468,USA,36.319,"Basic Materials, Chemicals, Petrochemicals, Electronics, Plastics / Plastic Products"
LG CHEM,469,South Korea,36.318,"Healthcare, Biotechnology, HealthCare Products, Technology, Pharmaceutical"
BIOGEN,470,USA,36.257,"Restaurants, Retail, Consumer Services, Entertainment"
YUM! BRANDS,471,USA,36.241,"Industries, Engineering Products, Engineering Services, Industrial Automation, Network Hardware and Software"
ROCKWELL AUTOMATION,472,USA,36.221,"Technology, Laptops, Computers Hardware, Computers and Components, Mobiles"
DELL TECHNOLOGIES,473,USA,36.148,"Financial Services, Banking Services"
CREDIT AGRICOLE,474,France,36.111,"Healthcare, Retail, Pharmacy, Marketing Services, Pharmaceutical"
AMERISOURCEBERGEN CORPORATION,475,USA,36.021,"Software and IT, Technology, Artificial Intelligence, Defense Products, Software and IT Infrastructure"
PALANTIR TECHNOLOGIES,476,USA,36.01,"Financial Services, Banking Services"
UNITED OVERSEAS BANK,477,Singapore,35.886,"Industries, Freight Transport, Transportation, Logistics, Shipping"
KUEHNE + NAGEL INTERNATIONAL AG,478,Switzerland,35.804,"Communication Services, Video Games / Mobile Games / Tech Games / Casino Games, Gaming, Electronics, Entertainment"
ELECTRONIC ARTS,479,USA,35.772,"Banking Services, Financial Services"
KUWAIT FINANCE HOUSE,480,Kuwait,35.772,"Conglomerate, Retail, Super Markets, Fertilizers, Chemicals"
WESFARMERS,481,Australia,35.768,"Automobile, Automobile Parts, Cars, Capital Goods, Passenger Vehicles"
FIAT CHRYSLER AUTOMOBILES,481,UK,35.715,"Retail, Consumer Services"
DOLLAR GENERAL CORPORATION,482,USA,35.59,"Financial Services, Banking Services"
LLOYDS BANKING GROUP,483,UK,35.568,"Healthcare, Medical Equipment, HealthCare Products, Biotechnology, Capital Goods"
AGILENT TECHNOLOGIES,484,USA,35.508,"Industries, Heavy Machinery, Industry Machinery, Building Products and Equipment"
OTIS WORLDWIDE CORPORATION,485,USA,35.491,"Financial Services, Technology"
NU HOLDINGS LTD.,486,Brazil,35.482,"Financial Services, Banking Services, Asset Management, Insurance, Private Bank"
BANCO BRADESCO,487,Brazil,35.418,"Gaming, Gambling, Entertainment, Leisure, Casinos"
FLUTTER ENTERTAINMENT,488,Ireland,35.413,"Utilities, Electricity Generation, Power Generation, Energy, Electric Utilities"
ORSTED A/S,489,Denmark,35.339,"Technology, Software and IT, Cloud Services, Software and IT Infrastructure, Security Systems and Solutions"
CROWDSTRIKE HOLDINGS,490,USA,35.154,"Real Estate, Infrastructure, Construction, Property Investments, Conglomerate"
SUN HUNG KAI PROPERTIES,491,Hong Kong,35.142,"Communication Services, Internet or Mobile App Based Business, eCommerce, Gaming, Media"
NASPERS,492,South Africa,35.112,"Basic Materials, Iron and Steel, Metal Products Manufacturing, Metals, Mining"
POSCO,493,South Korea,35.043,"Industries, Retail, eCommerce, Internet or Mobile App Based Business, B2B Services"
W.W. GRAINGER,494,USA,35.03,"Industries, Engineering Products, Electrical Products, Engines Manufacturing, Machinery Manufacturing"
CUMMINS,495,USA,35.028,"Financial Services, Insurance, Asset Management"
MANULIFE FINANCIAL CORPORATION,496,Canada,34.835,"Retail, Super Markets, Convenience Stores"
SEVEN & I HOLDINGS,497,Japan,34.825,"Technology, Electronics, Sensors, Medical Equipment, Capital Goods"
MURATA MANUFACTURING,498,Japan,34.795,"Industries, Electronics, Metal Fabrication Products, Engineering Products, Metal Products Manufacturing"
AMETEK,499,USA,34.651,"Industries, Aerospace Products, Defense Products, Security Systems and Solutions, Marine Systems"
BAE SYSTEMS,500,UK,34.65,"Power Generation, Water Utilities"
ACWA POWER COMPANY,501,Saudi Arabia,34.645,"Sports Goods, Footwear, Clothing, Readymade Clothing, Consumer Goods"
ADIDAS,502,Germany,34.612,"Industries, Waste and Trash Management, Environmental Services, Utilities"
WASTE CONNECTIONS,503,Canada,34.428,"Industries, Electronics, Technology Hardware and Instruments, Communications Equipment, Networking Products / Solutions"
L3HARRIS TECHNOLOGIES,504,USA,34.428,"Technology, Software and IT, Software Products, Software Outsourcing Services, Software Consulting Services"
HCL TECHNOLOGIES,505,India,34.408,"Social Media, Technology, Internet or Mobile App Based Business, Broadcasting"
KUAISHOU TECHNOLOCY,506,China,34.372,"Financial Services, Insurance, Investments, Asset Management"
AMERIPRISE FINANCIAL,507,USA,34.246,"Construction, Real Estate, Property Investments, Construction, Investments"
LENNAR CORPORATION,508,USA,34.206,"Healthcare, HealthCare Products, Healthcare Service, Insurance"
CENTENE CORPORATION,509,USA,34.174,"Financial Services, Trading, Stock Markets, Trading, Capital Markets"
INTERACTIVE BROKERS GROUP,510,USA,34.122,"Communication Services, Gaming, Software Products, Technology, Consumer Services"
SEA LIMITED,511,Singapore,34.07,"Travel and Transport, Transportation, Tourism"
CHINA TOURISM GROUP DUTY FREE CORPORATION LIMITED,512,China,34.048,"Automobile, Automobile Parts, Cars, Commercial Vehicles, Passenger Vehicles"
HYUNDAI MOTOR COMPANY,513,South Korea,34.025,"Technology, Software and IT, Cloud Services"
DATADOG,514,USA,34.01,"Healthcare, Biotechnology, HealthCare Products, Technology"
SEAGEN,515,USA,33.713,"Energy, Oil Field Services, Oil and Gas"
BAKER HUGHES COMPANY,516,USA,33.641,"Energy, Oil and Gas"
CENOVUS ENERGY,517,Canada,33.615,"Communication Services, Financial Services, Internet or Mobile App Based Business, Stock Markets, Trading, Capital Markets"
EAST MONEY INFORMATION,518,China,33.595,"Industries, Software and IT, Software Products, Consumer Services, Professional Services"
EXPERIAN,519,Ireland,33.561,"Real Estate, Data Centers, Cloud Services, Consumer Services, Property Investments"
DIGITAL REALTY TRUST,520,USA,33.383,"Industries, Electrical Products, Engines Manufacturing, Engineering Products, Engineering Services"
WEG,521,Brazil,33.375,"Financial Services, Stock Markets, Trading, Capital Markets, Trading, Securities"
DEUTSCHE BORSE,522,Germany,33.372,"Food Products, Beverages, FMCG, Food and Beverage, Package Foods"
FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY,523,China,33.369,"Healthcare, Biotechnology, Pharmaceutical, HealthCare Products, Technology"
ALEXION PHARMACEUTICALS,523,USA,33.324,"Financial Services, Banking Services, Wealth Management, Insurance, Credit Cards"
AXIS BANK,524,India,33.29,"Automobile, Cars, Passenger Vehicles"
MARUTI SUZUKI INDIA,525,India,33.284,"Energy, Oil and Gas, Oil and Gas Pipeline Transport, Natural Gas Generation, Gas Utilities"
MPLX LP,526,USA,33.186,"Basic Materials, Chemicals, Plastics / Plastic Products, Agriculture Products, Adhesives"
DUPONT DE NEMOURS,527,USA,33.143,"Healthcare, Technology, Technology Hardware and Instruments, Medical Equipment"
GE HEALTHCARE TECHNOLOGIES,528,USA,33.126,"Financial Services, Insurance"
CHINA PACIFIC INSURANCE GROUP (CPIC),529,China,33.096,"Technology, Software Products, Financial Services, Business Services, Software and IT"
FIDELITY NATIONAL INFORMATION SERVICES,530,USA,32.983,"Financial Services, Banking Services"
CHINA CITIC BANK CORPORATION,531,China,32.941,"Financial Services, Insurance, Asset Management"
PRUDENTIAL FINANCIAL,532,USA,32.846,"Financial Services, Banking Services"
PT BANK MANDIRI (PERSERO) TBK,533,Indonesia,32.791,"Basic Materials, Agriculture Related, Chemicals"
E. I. DU PONT DE NEMOURS AND COMPANY,534,USA,32.631,"Financial Services, Banking Services, Wealth Management, Asset Management"
THE BANK OF NEW YORK MELLON CORPORATION,535,USA,32.55,"Financial Services, Insurance"
PICC GROUP (PEOPLE'S INSURANCE COMPANY (GROUP) OF CHINA),536,China,32.514,"Online Food Delivery, Food Service, Technology, Internet or Mobile App Based Business"
DOORDASH,537,USA,32.335,"Retail, Food and Beverage, Food Products, Consumer Services, Super Markets"
KROGER,538,USA,32.299,"Restaurants, Retail, Food Service, Consumer Services, Entertainment"
RESTAURANT BRANDS INTERNATIONAL,539,Canada,32.277,"Ceramic Products, Glass Products, Building Products and Equipment"
COMPAGNIE DE SAINT-GOBAIN,540,France,32.262,"Basic Materials, Chemicals, Automobile, Automobile Parts, Conglomerate"
DSM,541,Netherlands,32.25,"Semiconductors, Technology"
GLOBALFOUNDRIES INC.,542,USA,32.172,"Utilities, Electric Utilities, Gas Utilities, Power Generation, Electricity Generation"
XCEL ENERGY,543,USA,32.105,"Energy, Oil Field Services, Oil and Gas"
HALLIBURTON COMPANY,544,USA,32.055,"Industries, Electrical Products, Electronics, Industry Machinery"
NIDEC CORPORATION,545,Japan,32.037,"Technology, Electronics, Batteries, Capital Goods"
SAMSUNG SDI,546,South Korea,31.959,"Industries, Automation, Industry Machinery"
SMC CORPORATION,547,Japan,31.928,"Basic Materials, Chemicals, Paints and Coatings"
PPG INDUSTRIES,548,USA,31.925,"Energy, Oil and Gas, Infrastructure, Electricity Generation, Power Generation"
TC ENERGY CORPORATION,549,Canada,31.762,"Alcoholic Beverages, Beverages, Wine"
BROWN-FORMAN CORPORATION,550,USA,31.76,"Energy, Coal Mining, Conglomerate, Mining"
ADANI ENTERPRISES,551,India,31.75,"Industries, Courier, Logistics, Freight Transport"
S.F. HOLDING,552,China,31.732,"Industries, Shipping, Freight Transport, Transportation, Logistics"
A.P. MOLLER - MAERSK A/S,553,Denmark,31.706,"Retail, Super Markets, eCommerce, Food and Beverage, Food Products"
AHOLD DELHAIZE,554,Netherlands,31.654,"Media, Internet or Mobile App Based Business, Analytics, Technology"
BLOOMBERG LP,554,USA,31.651,"Energy, Oil and Gas"
DEVON ENERGY CORPORATION,555,USA,31.644,"Basic Materials, Mining, Metals, Gold Mining, Precious Metals"
NEWMONT CORPORATION,556,USA,31.606,"Basic Materials, Chemicals, Fertilizers, Agriculture Related"
NUTRIEN,557,Canada,31.582,"Industries, Software and IT, Software Products, Technology, Consulting Services"
VERISK ANALYTICS,558,USA,31.546,"Retail, Consumer Services, Convenience Stores"
DOLLAR TREE,559,USA,31.525,"Communication Services, Telecom"
SWISSCOM AG,560,Switzerland,31.412,"Industries, Retail, Construction Materials, Home & Furniture, Home Improvement"
FASTENAL COMPANY,561,USA,31.288,"Technology, Electronics, Semiconductors, Processors / Chips"
MEDIATEK,562,Taiwan,31.223,"Technology, Software and IT, Software Products, Software Consulting Services, Software Outsourcing Services"
COGNIZANT TECHNOLOGY SOLUTIONS,563,USA,31.194,"Real Estate, Internet or Mobile App Based Business, Software and IT, Software Products, Business Services"
COSTAR GROUP,564,USA,31.158,"Real Estate, Construction, Property Investments, Construction, Investments"
CHINA RESOURCES LAND,565,China,31.103,"Meat / Poultry / Fish / Chicken, Food Products, FMCG, Farming / Seeds / Milling"
MUYUAN FOODS,566,China,31.092,"Financial Services, Banking Services"
PING AN BANK,567,China,31.092,"Healthcare, Pharmaceutical, HealthCare Products, Biotechnology, Technology"
SUN PHARMACEUTICAL INDUSTRIES,568,India,31.059,"Utilities, Electric Utilities, Gas Utilities, Energy, Power Generation"
CONSOLIDATED EDISON,569,USA,30.995,"Utilities, Electricity Generation, Power Generation, Electric Utilities, Energy"
E.ON SE,570,Germany,30.845,"Industries, Home Improvement, Building Products and Equipment, Construction Materials"
FERGUSON,571,UK,30.798,"Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers"
SINGAPORE TELECOMMUNICATIONS (SINGTEL),572,Singapore,30.763,"Technology, Electronics, Semiconductors, Processors / Chips"
RENESAS ELECTRONICS CORPORATION,573,Japan,30.704,"Communication Services, Telecom, Mobile Services, Internet Providers, Television Services"
TELSTRA CORPORATION,574,Australia,30.682,"Healthcare, Medical Equipment, HealthCare Products, Medical Ventilators"
RESMED,575,USA,30.659,"Sports Goods, Footwear, Consumer Goods, Leisure"
ANTA SPORTS PRODUCTS,576,China,30.568,"Technology, Software and IT, Software Products"
AMADEUS IT GROUP,577,Spain,30.567,"Technology, Computers Hardware"
QUANTA COMPUTER,578,Taiwan,30.537,"Basic Materials, Chemicals, Plastics / Plastic Products, Oil Refining"
LYONDELLBASELL INDUSTRIES,579,Netherlands,30.532,"Industries, Investments, Financial Services, Energy, Conglomerate"
CITIC,580,China,30.45,"Healthcare, Software and IT, Cloud Services, Software Products, Technology"
VEEVA SYSTEMS,581,USA,30.425,"Financial Services, Banking Services"
BOC HONG KONG,582,Hong Kong,30.347,"Apparels and Accessories, Jewellery, Watches, Consumer Durables, Luxury Goods"
TITAN COMPANY,583,India,30.345,"Technology, Software and IT, Software Products, Computers Hardware, Technology Hardware and Instruments"
HP INC,584,USA,30.097,"Industries, Construction Equipment, Rent / Lease Services"
ASHTEAD GROUP,585,UK,30.093,"Financial Services, Insurance"
ASSICURAZIONI GENERALI,586,Italy,29.972,"Internet or Mobile App Based Business, eCommerce, Retail"
"COUPANG, INC.",587,South Korea,29.951,"Real Estate, Casinos, Hotels, Entertainment"
SANDS CHINA,588,Macao,29.864,"Utilities, Electric Utilities, Electric Vehicle Charging Station"
RWE AG,589,Germany,29.797,"Real Estate, Consumer Services, Entertainment, Property Investments"
VICI PROPERTIES,590,USA,29.785,"Hotels, Casinos, Entertainment"
GALAXY ENTERTAINMENT GROUP,591,Hong Kong,29.718,"Communication Services, Software and IT, Software Products, Publishing"
WOLTERS KLUWER,592,Netherlands,29.656,"Technology, Electronics, Electrical Products, Capital Goods"
LUXSHARE PRECISION INDUSTRY,593,China,29.56,"Retail, Super Markets, Hypermarkets, Consumer Non Durables"
WOOLWORTHS GROUP,594,Australia,29.531,"Financial Services, Sports Vehicles, Automobile, Investments"
EXOR,595,Netherlands,29.417,"Technology, Software and IT, Software Consulting Services, Software Outsourcing Services, Software Products"
CAPGEMINI SE,596,France,29.405,"Industries, Automation, Robotics, Technology, Machinery Manufacturing"
FANUC CORPORATION,597,Japan,29.404,"Financial Services, Banking Services"
KBC GROUP NV,598,Belgium,29.362,"Food Products, Agriculture Products, Package Foods, Food and Beverage"
"YIHAI KERRY ARAWANA HOLDINGS CO., LTD",599,China,29.333,"Energy, Oil and Gas, Natural Gas Generation, Petroleum, Chemicals"
IMPERIAL OIL,600,Canada,29.311,"Beverages, Alcoholic Beverages, FMCG, Beer"
BUDWEISER BREWING COMPANY APAC,601,Hong Kong,29.298,"Utilities, Electric Utilities, Gas Utilities, Electricity Generation, Power Generation"
PUBLIC SERVICE ENTERPRISE GROUP,602,USA,29.222,"Financial Services, Banking Services"
DNB ASA,603,Norway,29.138,"Technology, Solar Power Devices, Semiconductors"
LONGI GREEN ENERGY TECHNOLOGY,604,China,29.108,"Financial Services, Banking Services, Wealth Management, Asset Management"
BARCLAYS PLC,605,UK,29.105,"Basic Materials, Chemicals, Flavors and Fragrances, Consumer Non Durables"
GIVAUDAN SA,606,Switzerland,29.095,"Communication Services, Media, Consumer Services, Television Services, Advertising"
WARNER BROS. DISCOVERY INC,607,USA,29.093,"Industries, Electrical Products, Aerospace and Defense, Aerospace Products, Defense Products"
THALES,608,France,29.053,"Chemicals, Beauty and Personal Care, Personal Care Products, Home Cleaning Accessories, Adhesives"
HENKEL AG,609,Germany,29.024,"Financial Services, Insurance"
SWISS RE,610,Switzerland,29.019,"Utilities, Electric Utilities, Gas Utilities, Power Generation, Electricity Generation"
CONSTELLATION ENERGY CORPORATION,611,USA,28.975,"Basic Materials, Chemicals, Construction Materials"
POSCO CHEMICAL,612,South Korea,28.886,"Financial Services, Insurance, Asset Management, Investments"
SUN LIFE FINANCIAL,613,Canada,28.841,"Financial Services, Banking Services"
SHANGHAI PUDONG DEVELOPMENT BANK,614,China,28.84,"Real Estate, Consumer Services, Property Investments"
EXTRA SPACE STORAGE,615,USA,28.825,"Technology, Home Appliances, Consumer Electronics, Electronics, Refrigerators"
HAIER SMART HOME,616,China,28.814,"Industries, Airports Operating"
SYDNEY AIRPORT,616,Australia,28.788,"Financial Services, Asset Management, Wealth Management, Insurance"
BAJAJ FINSERV,617,India,28.77,"Industries, Rent / Lease Services, B2B Services"
UNITED RENTALS,618,USA,28.742,"Technology, Electrical Products, Electronics, Air Conditioners, Home Appliances"
GREE ELECTRIC APPLIANCES,619,China,28.601,"Financial Services, Banking Services"
CAIXABANK,620,Spain,28.591,"Healthcare, Pharmaceutical, Biopharmaceutical, Biotechnology, Technology"
ARGENX SE,621,Netherlands,28.525,"Industries, Electronics, Electrical Products, Air Conditioners, Semiconductors"
MITSUBISHI ELECTRIC CORPORATION,622,Japan,28.524,"Communication Services, Telecom, Mobile Services, Fixed Line Service, Television Services"
ORANGE S.A,623,France,28.501,"Healthcare, Medical Equipment, Biotechnology, Capital Goods, Technology"
ILLUMINA,624,USA,28.422,"Technology, Electronics, Technology Hardware and Instruments, Capital Goods"
DELTA ELECTRONICS,625,Taiwan,28.408,"Automobile, Automobile Service, Cameras & Accessories"
MOBILEYE GLOBAL INC.,626,Israel,28.343,"Beverages, Alcoholic Beverages"
JIANGSU YANGHE BREWERY JOINT-STOCK,627,China,28.297,"Energy, Oil and Gas, Gas Utilities, Natural Gas Generation, Utilities"
ONEOK,628,USA,28.197,"Financial Services, Banking Services"
JAPAN POST BANK,629,Japan,28.194,"Chocolate & Confectionery, Package Foods, Food Products"
FERRERO SPA,629,Italy,28.095,Retail
REWE GROUP,629,Germany,28.06,"Financial Services, Investments, Asset Management"
ARES MANAGEMENT CORPORATION,630,USA,27.942,"Communication Services, Telecom"
CELLNEX TELECOM,631,Spain,27.886,"Personal Care Products, Beauty and Personal Care, FMCG, Consumer Goods"
BEIERSDORF,632,Germany,27.807,"Home Appliances, Consumer Goods, Consumer Electronics, Electronics, Consumer Durables"
DYSON,632,Singapore,27.775,"Basic Materials, Gold Mining, Mining"
BARRICK GOLD CORPORATION,633,Canada,27.766,"Industries, Airports Operating, Infrastructure"
AIRPORTS OF THAILAND,634,Thailand,27.765,"Financial Services, Investments, Asset Management"
PARTNERS GROUP HOLDING AG,635,Switzerland,27.739,"Financial Services, Insurance, Financial Services"
ALLSTATE CORPORATION,636,USA,27.683,"Automobile Parts, Automobile, Capital Goods, Technology"
APTIV,637,Ireland,27.665,"Industries, Airlines, Aviation, Transportation"
DELTA AIR LINES,638,USA,27.642,"Super Markets, Retail, Hypermarkets"
AVENUE SUPERMARTS,639,India,27.333,"Utilities, Electricity Generation, Power Generation, Gas Utilities, Electric Utilities"
NATURGY ENERGY GROUP,640,Spain,27.253,"Beverages, Non-Alcoholic Beverages, FMCG"
COCA-COLA EUROPACIFIC PARTNERS PLC,641,UK,27.133,"Industries, Infrastructure"
TRANSURBAN GROUP,642,Australia,27.106,"Technology, Software and IT, Software Products"
ANSYS,643,USA,27.011,"Basic Materials, Construction Materials, Mining, Metals"
VULCAN MATERIALS COMPANY,644,USA,26.961,"Healthcare, Medical Equipment, HealthCare Products"
ALIGN TECHNOLOGY,645,USA,26.961,"Basic Materials, Cement, Construction Materials"
ULTRATECH CEMENT,646,India,26.839,"Industries, Conglomerate, Paper and Pulp, Investments, Food Products"
MARUBENI CORPORATION,647,Japan,26.829,"Industries, Infrastructure, Capital Goods, Engineering Products, Construction"
QUANTA SERVICES,648,USA,26.779,"Technology, Semiconductors, Electronics"
SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION,649,China,26.77,"Healthcare, Medical Equipment, HealthCare Products"
ZIMMER BIOMET HOLDINGS,650,USA,26.644,"Technology, Software and IT, Software Products, Software and IT Infrastructure"
MONGODB,651,USA,26.594,"Social Media, Internet or Mobile App Based Business"
INSTAGRAM,651,USA,26.587,"Communication Services, Telecom, Mobile Services, Internet Providers, Fixed Line Service"
CHUNGHWA TELECOM,652,Taiwan,26.487,"Technology, Electronics, Tools and Equipment, Machinery Manufacturing, Capital Goods"
KEYSIGHT TECHNOLOGIES,653,USA,26.453,"Energy, Oil and Gas, Coal Mining, Natural Gas Generation, Petrochemicals"
PTT PUBLIC COMPANY,654,Thailand,26.438,"Chocolate & Confectionery, FMCG"
CHOCOLADEFABRIKEN LINDT & SPRUNGLI AG,655,Switzerland,26.43,"Industries, Railway, Rail Transport, Railway Operating Company, Transportation"
MTR CORPORATION,656,Hong Kong,26.406,"Healthcare, Pharmaceutical, Biopharmaceutical, Medical Equipment, Software and IT"
WUXI APPTEC,657,China,26.377,"Financial Services, Banking Services"
HANG SENG BANK,658,Hong Kong,26.375,"Healthcare, Medical Equipment, Biotechnology, Electronics, HealthCare Products"
METTLER-TOLEDO INTERNATIONAL,659,USA,26.358,"Financial Services, Asset Management, Investments"
T. ROWE PRICE GROUP,660,USA,26.354,"Financial Services, Insurance"
ARCH CAPITAL GROUP,661,Bermuda,26.287,"Communication Services, Media, Internet or Mobile App Based Business, Broadcasting, Music"
SPOTIFY TECHNOLOGY,662,Sweden,26.269,"Communication Services, Software and IT, Software Products, Technology, Internet or Mobile App Based Business"
TWITTER,663,USA,26.267,"Utilities, Water Utilities"
AMERICAN WATER WORKS COMPANY,663,USA,26.251,"Banking Services, Financial Services"
EMIRATES NBD,664,UAE,26.246,"Financial Services, Banking Services"
BANCO DO BRASIL,665,Brazil,26.236,"Industries, Digital Payment Solution Services, Software and IT, Software Products, Business Services"
GLOBAL PAYMENTS,666,USA,26.217,"Energy, Oil and Gas, Oil Refining, Trading"
NESTE OYJ,667,Finland,26.204,"Utilities, Electric Utilities, Hydro-Electric Power, Power Generation, Electricity Generation"
VERBUND AG,668,Austria,26.167,"Utilities, Energy, Natural Gas Generation, Electric Utilities, Gas Utilities"
WEC ENERGY GROUP,669,USA,26.119,"Automobile, Automobile Parts, Tyres"
BRIDGESTONE CORPORATION,670,Japan,26.114,"Retail, Super Markets, Food Products, Pharmacy, Financial Services"
LOBLAW COMPANIES,671,Canada,26.034,"Banking Services, Insurance, Financial Services"
NATWEST GROUP,672,UK,26.005,"Financial Services, Investments, Asset Management"
EQT AB (PUBL),673,Sweden,25.97,"Financial Services, Insurance, Asset Management, Investments"
GREAT-WEST LIFECO,674,Canada,25.931,"Technology, Electronics, Home Appliances, Air Conditioners, Technology Hardware and Instruments"
PANASONIC CORPORATION,675,Japan,25.927,"Utilities, Electric Utilities, Electricity Generation, Power Generation, Energy"
EDISON INTERNATIONAL,676,USA,25.887,"Automobile, Automobile Parts, Construction Equipment, Cars, Sports Vehicles"
TATA MOTORS,677,India,25.872,"Basic Materials, Construction Materials, Mining, Metals"
MARTIN MARIETTA MATERIALS,678,USA,25.841,"Automobile, Automobile Parts, Trucks, Cars, Commercial Vehicles"
GREAT WALL MOTOR COMPANY,679,China,25.835,"Technology, Software and IT"
BEIJING KINGSOFT OFFICE SOFTWARE,680,China,25.819,"Travel and Transport, Marine Transportation, Transportation, Consumer Services, Leisure"
ROYAL CARIBBEAN CRUISES,681,USA,25.819,"Technology, Consumer Services, Software and IT, Market Research"
GARTNER,682,USA,25.797,"Ceramic Products, Glass Products, Optical Fiber, Telecom Equipment, Electronics"
CORNING,683,USA,25.725,"Basic Materials, Mining, Gold Mining, Precious Metals, Metals"
FRANCO-NEVADA CORPORATION,684,Canada,25.697,"Technology, Software and IT, Software Products"
HubSpot,685,USA,25.671,"Retail, Clothing, Readymade Clothing, Apparels and Accessories"
H & M HENNES & MAURITZ AB,686,Sweden,25.613,"Healthcare, Hospitals, Healthcare Service, Pharmacy"
DR. SULAIMAN AL HABIB MEDICAL SERVICES GROUP COMPANY,687,Saudi Arabia,25.594,"Healthcare, Pharmaceutical, HealthCare Products, Chemicals, Packaging"
WEST PHARMACEUTICAL SERVICES,688,USA,25.578,"Technology, Technology Hardware and Instruments, Software and IT, Software Products, Automation"
FORTIVE CORPORATION,689,USA,25.563,"Financial Services, Banking Services"
GRUPO FINANCIERO BANORTE,690,Mexico,25.535,"Industries, Electricity Generation, Power Generation, Technology Hardware and Instruments, Technology"
NARI TECHNOLOGY,691,China,25.371,"Industries, Utilities, Water Utilities, Capital Goods, Industry Machinery"
XYLEM,692,USA,25.366,"Financial Services, Banking Services"
RIYAD BANK,693,Saudi Arabia,25.346,"Basic Materials, Paper and Pulp, Forest Products"
KLABIN,694,Brazil,25.317,"Industries, Power Equipment, Wind Turbines, Industry Machinery"
VESTAS WIND SYSTEMS A/S,695,Denmark,25.306,"Healthcare, Pharmaceutical, HealthCare Products"
ASTELLAS PHARMA,696,Japan,25.248,"Industries, Consumer Goods, Home Improvement, Home & Furniture"
ASSA ABLOY AB (PUBL),697,Sweden,25.181,"Industries, Electrical Products, Industry Machinery"
LEGRAND SA,698,France,25.155,"Industries, Escalators, Elevators, Engineering Products, Building Automation"
KONE OYJ,699,Finland,25.152,"Industries, Automobile, Construction Equipment, Mining, Mining Equipment"
KOMATSU,700,Japan,25.108,"Healthcare, Hospitals, Healthcare Service, HealthCare Products"
AIER EYE HOSPITAL GROUP,701,China,25.102,"Financial Services, Banking Services, Wealth Management, Credit Cards, Mortgage"
STANDARD CHARTERED,702,UK,25.077,"Real Estate, Property Investments, Investments, Construction, Consumer Services"
AVALONBAY COMMUNITIES,703,USA,25.002,"Technology, Software and IT, Software Products, Technology Hardware and Instruments"
HEXAGON AB (PUBL),704,Sweden,24.999,"Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers"
VODAFONE GROUP,705,UK,24.939,"Energy, Oil and Gas, Natural Gas Generation, Petroleum"
DIAMONDBACK ENERGY,706,USA,24.931,"Consumer Services, Gaming, Gambling"
EVOLUTION GAMING GROUP AB (PUBL),707,Sweden,24.928,"FMCG, Food Products, Food and Beverage, Package Foods"
NESTLE INDIA,708,India,24.924,"Financial Services, Insurance"
HANNOVER RUCK SE,709,Germany,24.914,"Energy, Oil and Gas, Natural Gas Generation, Petroleum, Petrochemicals"
ONGC,710,India,24.911,"Healthcare, Medical Equipment, HealthCare Products"
COLOPLAST A/S,711,Denmark,24.86,"Healthcare, Pharmaceutical, Medical Equipment, HealthCare Products"
STRAUMANN HOLDING AG,712,Switzerland,24.82,"Financial Services, Banking Services"
BANK OF NINGBO,713,China,24.817,"Financial Services, Banking Services"
NATIONAL BANK OF CANADA,714,Canada,24.795,"Automobile, Automobile Parts, Cars, Electric Vehicles, Passenger Vehicles"
NIO INC,715,China,24.779,"Financial Services, Insurance"
INTACT FINANCIAL CORPORATION,716,Canada,24.75,"Financial Services, Credit Cards"
DISCOVER FINANCIAL SERVICES,717,USA,24.661,"Healthcare, Biotechnology"
GENMAB A/S,718,Denmark,24.656,Automobile
KIA MOTORS CORPORATION,719,South Korea,24.557,"Restaurants, Food Chains / Distributor, Food Service"
RESTAURANT BRANDS INTERNATIONAL LIMITED PARTNERSHIP,720,Canada,24.542,"Financial Services, Banking Services"
JAPAN POST HOLDINGS,721,Japan,24.483,"Industries, Automobile, Automobile Parts, Capital Goods, Machinery Manufacturing"
INGERSOLL-RAND (IRELAND),722,Ireland,24.459,"Industries, Technology Hardware and Instruments, Technology, Electrical Products"
SHENZHEN INOVANCE TECHNOLOGY,723,China,24.412,"Industries, Trading, Conglomerate"
